n,noise_model,seed,p_noise,q_eve,qber,n_sifted,n_errors
30000,depolarizing,1,0.0,0.0,0.0,14886,0
30000,depolarizing,1,0.0,0.05,0.01189036678758565,14886,177
30000,depolarizing,1,0.0,0.1,0.02586322719333602,14886,385
30000,depolarizing,1,0.0,0.15000000000000002,0.0380894800483676,14886,567
30000,depolarizing,1,0.0,0.2,0.05219669488109633,14886,777
30000,depolarizing,1,0.0,0.25,0.0609969098481795,14886,908
30000,depolarizing,1,0.0,0.30000000000000004,0.07758968158000806,14886,1155
30000,depolarizing,1,0.0,0.35000000000000003,0.08887545344619105,14886,1323
30000,depolarizing,1,0.0,0.4,0.1046620986161494,14886,1558
30000,depolarizing,1,0.0,0.45,0.11487303506650544,14886,1710
30000,depolarizing,1,0.0,0.5,0.1228671234717184,14886,1829
30000,depolarizing,1,0.0,0.55,0.1319360472927583,14886,1964
30000,depolarizing,1,0.0,0.6000000000000001,0.15175332527206772,14886,2259
30000,depolarizing,1,0.0,0.65,0.16451699583501275,14886,2449
30000,depolarizing,1,0.0,0.7000000000000001,0.17687760311702272,14886,2633
30000,depolarizing,1,0.0,0.75,0.18675265349993284,14886,2780
30000,depolarizing,1,0.0,0.8,0.19615746338841863,14886,2920
30000,depolarizing,1,0.0,0.8500000000000001,0.21174257691790946,14886,3152
30000,depolarizing,1,0.0,0.9,0.22947736127905413,14886,3416
30000,depolarizing,1,0.0,0.9500000000000001,0.24371893053876126,14886,3628
30000,depolarizing,1,0.0,1.0,0.2473465000671772,14886,3682
30000,depolarizing,1,0.01,0.0,0.004903936584710466,14886,73
30000,depolarizing,1,0.01,0.05,0.0168614805857853,14886,251
30000,depolarizing,1,0.01,0.1,0.03036410049711138,14886,452
30000,depolarizing,1,0.01,0.15000000000000002,0.04285906220609969,14886,638
30000,depolarizing,1,0.01,0.2,0.05723498589278517,14886,852
30000,depolarizing,1,0.01,0.25,0.06596802364637915,14886,982
30000,depolarizing,1,0.01,0.30000000000000004,0.08269514980518608,14886,1231
30000,depolarizing,1,0.01,0.35000000000000003,0.09317479510949886,14886,1387
30000,depolarizing,1,0.01,0.4,0.1085583769985221,14886,1616
30000,depolarizing,1,0.01,0.45,0.11829907295445385,14886,1761
30000,depolarizing,1,0.01,0.5,0.12709928792153702,14886,1892
30000,depolarizing,1,0.01,0.55,0.13529490796721752,14886,2014
30000,depolarizing,1,0.01,0.6000000000000001,0.1552465403735053,14886,2311
30000,depolarizing,1,0.01,0.65,0.16753997044202606,14886,2494
30000,depolarizing,1,0.01,0.7000000000000001,0.18010210936450355,14886,2681
30000,depolarizing,1,0.01,0.75,0.1894397420395002,14886,2820
30000,depolarizing,1,0.01,0.8,0.1994491468493887,14886,2969
30000,depolarizing,1,0.01,0.8500000000000001,0.21523579201934703,14886,3204
30000,depolarizing,1,0.01,0.9,0.2314926776837297,14886,3446
30000,depolarizing,1,0.01,0.9500000000000001,0.24674190514577454,14886,3673
30000,depolarizing,1,0.01,1.0,0.24976487975278786,14886,3718
30000,depolarizing,1,0.02,0.0,0.010345290877334408,14886,154
30000,depolarizing,1,0.02,0.05,0.022168480451430876,14886,330
30000,depolarizing,1,0.02,0.1,0.034999328227865105,14886,521
30000,depolarizing,1,0.02,0.15000000000000002,0.047024049442429126,14886,700
30000,depolarizing,1,0.02,0.2,0.060929732634690315,14886,907
30000,depolarizing,1,0.02,0.25,0.0695955931747951,14886,1036
30000,depolarizing,1,0.02,0.30000000000000004,0.08625554212011285,14886,1284
30000,depolarizing,1,0.02,0.35000000000000003,0.09740695955931748,14886,1450
30000,depolarizing,1,0.02,0.4,0.11232030095391643,14886,1672
30000,depolarizing,1,0.02,0.45,0.12172511084240226,14886,1812
30000,depolarizing,1,0.02,0.5,0.13072685744995297,14886,1946
30000,depolarizing,1,0.02,0.55,0.13892247749563347,14886,2068
30000,depolarizing,1,0.02,0.6000000000000001,0.15840386940749698,14886,2358
30000,depolarizing,1,0.02,0.65,0.17103318554346367,14886,2546
30000,depolarizing,1,0.02,0.7000000000000001,0.1838640333198979,14886,2737
30000,depolarizing,1,0.02,0.75,0.19326884320838372,14886,2877
30000,depolarizing,1,0.02,0.8,0.20186752653499934,14886,3005
30000,depolarizing,1,0.02,0.8500000000000001,0.21704957678355502,14886,3231
30000,depolarizing,1,0.02,0.9,0.2341125890098079,14886,3485
30000,depolarizing,1,0.02,0.9500000000000001,0.24922746204487436,14886,3710
30000,depolarizing,1,0.02,1.0,0.252384791078866,14886,3757
30000,depolarizing,1,0.03,0.0,0.014913341394598953,14886,222
30000,depolarizing,1,0.03,0.05,0.02734112589009808,14886,407
30000,depolarizing,1,0.03,0.1,0.04044068252048905,14886,602
30000,depolarizing,1,0.03,0.15000000000000002,0.05286846701598818,14886,787
30000,depolarizing,1,0.03,0.2,0.06677415020824937,14886,994
30000,depolarizing,1,0.03,0.25,0.07530565632137579,14886,1121
30000,depolarizing,1,0.03,0.30000000000000004,0.09062206099690985,14886,1349
30000,depolarizing,1,0.03,0.35000000000000003,0.10204218729007121,14886,1519
30000,depolarizing,1,0.03,0.4,0.11661964261722424,14886,1736
30000,depolarizing,1,0.03,0.45,0.12582292086524252,14886,1873
30000,depolarizing,1,0.03,0.5,0.13435442697836894,14886,2000
30000,depolarizing,1,0.03,0.55,0.14261722423753861,14886,2123
30000,depolarizing,1,0.03,0.6000000000000001,0.16243450221684805,14886,2418
30000,depolarizing,1,0.03,0.65,0.17445922343141207,14886,2597
30000,depolarizing,1,0.03,0.7000000000000001,0.18749160284831384,14886,2791
30000,depolarizing,1,0.03,0.75,0.1960231089614403,14886,2918
30000,depolarizing,1,0.03,0.8,0.20562945049039366,14886,3061
30000,depolarizing,1,0.03,0.8500000000000001,0.22034126024452505,14886,3280
30000,depolarizing,1,0.03,0.9,0.23713556361682117,14886,3530
30000,depolarizing,1,0.03,0.9500000000000001,0.2517801961574634,14886,3748
30000,depolarizing,1,0.03,1.0,0.2550718796184334,14886,3797
30000,depolarizing,1,0.04,0.0,0.020085986833266158,14886,299
30000,depolarizing,1,0.04,0.05,0.03217788526131936,14886,479
30000,depolarizing,1,0.04,0.1,0.04561332795915626,14886,679
30000,depolarizing,1,0.04,0.15000000000000002,0.057973935241166195,14886,863
30000,depolarizing,1,0.04,0.2,0.07100631465806799,14886,1057
30000,depolarizing,1,0.04,0.25,0.07926911191723768,14886,1180
30000,depolarizing,1,0.04,0.30000000000000004,0.09424963052532581,14886,1403
30000,depolarizing,1,0.04,0.35000000000000003,0.10546822517801961,14886,1570
30000,depolarizing,1,0.04,0.4,0.12038156657261857,14886,1792
30000,depolarizing,1,0.04,0.45,0.1293833131801693,14886,1926
30000,depolarizing,1,0.04,0.5,0.1379819965067849,14886,2054
30000,depolarizing,1,0.04,0.55,0.14557302163106275,14886,2167
30000,depolarizing,1,0.04,0.6000000000000001,0.166062071745264,14886,2472
30000,depolarizing,1,0.04,0.65,0.17741502082493618,14886,2641
30000,depolarizing,1,0.04,0.7000000000000001,0.191186349590219,14886,2846
30000,depolarizing,1,0.04,0.75,0.19884455192798603,14886,2960
30000,depolarizing,1,0.04,0.8,0.20838371624345023,14886,3102
30000,depolarizing,1,0.04,0.8500000000000001,0.22349858927851673,14886,3327
30000,depolarizing,1,0.04,0.9,0.24036006986430203,14886,3578
30000,depolarizing,1,0.04,0.9500000000000001,0.25493752519145507,14886,3795
30000,depolarizing,1,0.04,1.0,0.25749025930404407,14886,3833
30000,depolarizing,1,0.05,0.0,0.024318151283084777,14886,362
30000,depolarizing,1,0.05,0.05,0.037081821846029824,14886,552
30000,depolarizing,1,0.05,0.1,0.0501813784764208,14886,747
30000,depolarizing,1,0.05,0.15000000000000002,0.06220609969098482,14886,926
