n,seed,p_noise,q_eve,qber,n_sifted,n_errors
50000,1,0.0,0.0,0.0,25051,0
50000,1,0.0,0.05,0.012614266895533112,25051,316
50000,1,0.0,0.1,0.023871302542812663,25051,598
50000,1,0.0,0.15000000000000002,0.037762963554349126,25051,946
50000,1,0.0,0.2,0.049738533391880564,25051,1246
50000,1,0.0,0.25,0.059239152129655505,25051,1484
50000,1,0.0,0.30000000000000004,0.07612470560057483,25051,1907
50000,1,0.0,0.35000000000000003,0.08766117121073011,25051,2196
50000,1,0.0,0.4,0.09943714821763602,25051,2491
50000,1,0.0,0.45,0.11352840205979801,25051,2844
50000,1,0.0,0.5,0.12366771785557462,25051,3098
50000,1,0.0,0.55,0.13731986747036046,25051,3440
50000,1,0.0,0.6000000000000001,0.1499341343658936,25051,3756
50000,1,0.0,0.65,0.1634665282823041,25051,4095
50000,1,0.0,0.7000000000000001,0.171051055846074,25051,4285
50000,1,0.0,0.75,0.18749750508961718,25051,4697
50000,1,0.0,0.8,0.20546085984591433,25051,5147
50000,1,0.0,0.8500000000000001,0.21080994770667838,25051,5281
50000,1,0.0,0.9,0.2227855175442098,25051,5581
50000,1,0.0,0.9500000000000001,0.23547962157199315,25051,5899
50000,1,0.0,1.0,0.2460580415951459,25051,6164
50000,1,0.01,0.0,0.005389006426889146,25051,135
50000,1,0.01,0.05,0.017085146301544847,25051,428
50000,1,0.01,0.1,0.028901041874575865,25051,724
50000,1,0.01,0.15000000000000002,0.04199433156361024,25051,1052
50000,1,0.01,0.2,0.05412957566564209,25051,1356
50000,1,0.01,0.25,0.06478783282104507,25051,1623
50000,1,0.01,0.30000000000000004,0.08039599217596104,25051,2014
50000,1,0.01,0.35000000000000003,0.09197237635224143,25051,2304
50000,1,0.01,0.4,0.10306973773502055,25051,2582
50000,1,0.01,0.45,0.11716099157718254,25051,2935
50000,1,0.01,0.5,0.12738014450520938,25051,3191
50000,1,0.01,0.55,0.14147139834737135,25051,3544
50000,1,0.01,0.6000000000000001,0.1541655023751547,25051,3862
50000,1,0.01,0.65,0.16725879206418906,25051,4190
50000,1,0.01,0.7000000000000001,0.17448405253283303,25051,4371
50000,1,0.01,0.75,0.19152928026825278,25051,4798
50000,1,0.01,0.8,0.20905353079717376,25051,5237
50000,1,0.01,0.8500000000000001,0.21448245579018801,25051,5373
50000,1,0.01,0.9,0.22573949143746758,25051,5655
50000,1,0.01,0.9500000000000001,0.23839367689912577,25051,5972
50000,1,0.01,1.0,0.2484930741287773,25051,6225
50000,1,0.02,0.0,0.011217117081154445,25051,281
50000,1,0.02,0.05,0.021755618538182107,25051,545
50000,1,0.02,0.1,0.03329208414833739,25051,834
50000,1,0.02,0.15000000000000002,0.04626561813899645,25051,1159
50000,1,0.02,0.2,0.05848069937327851,25051,1465
